Title,Pic,Summary,SID,Product Name,Rating,Scale,Author,Date,URL,Verdict
TCL MOVEAUDIO S600 Earbuds Review: Be Jammin’ for Less Than a Benjamin,https://www.reviewgeek.com/p/uploads/2021/09/e9d7af06-1.jpg,"TCL probably isn’t the first name you think of when it comes to true wireless earbuds, but I think that should probably change. The TCL MOVEAUDIO S600 is a solid little set of buds with ANC, Transparency Mode, wireless charging, and good audio quality—all for under a Benjamin.",96709,TCL MOVEAUDIO S600 Earbuds ,9,10,Cameron Summerson,2021-09-20T14:00:08-04:00,https://www.reviewgeek.com/96709/tcl-moveaudio-s600-earbuds-review-be-jammin-for-less-than-a-benjamin/,"Ultimately, both ANC and Transparency Mode work well given the price, and I have no complaints about either. I’m always happy to see these features at this price point, and I’m even more pleased when they’re actually usable."
Samsung Galaxy Watch 4 Classic Review: Almost the First Great Wear OS Watch,https://www.reviewgeek.com/p/uploads/2021/09/c087f475.jpg,"If we’re honest, Android has never had a great smartwatch option to rival the Apple Watch. In a bid to change that, Samsung and Google partnered up to create Wear OS 4 and, with it, the Galaxy Watch 4. And, in a few words? It’s a beautiful Frankenstein monster. And, the best Wear OS watch yet.",97155,Samsung Galaxy Watch 4 Classic ,8,10,Josh Hendrickson,2021-09-29T10:24:17-04:00,https://www.reviewgeek.com/97155/samsung-galaxy-watch-4-classic-review-almost-the-first-great-wear-os-watch/,I can’t help but long for a pure Wear OS watch with Samsung’s processor. I might even pay extra for that.
Ultimate Ears HyperBoom Review: Boom Is an Understatement,https://www.reviewgeek.com/p/uploads/2021/09/56cd4327.jpg,"A little Bluetooth speaker is a quick way to bring some music to the party, but they can be lacking volume and bass due to their size. Ultimate Ears’ $399.99 HyperBoom settles on the most obvious solution to that problem: Go big in every way possible. And boy, does it succeed.",96271,Ultimate Ears HyperBoom ,8,10,Josh Hendrickson,2021-09-24T11:23:00-04:00,https://www.reviewgeek.com/96271/ultimate-ears-hyperboom-review-boom-is-an-understatement/,"But here, we have to address the elephant in the room. The HyperBoom costs $399.99. Or, you know, more than the entry-level iPad. Let’s be frank, that’s pretty expensive for a Bluetooth speaker. And that fact that it’s JUST Bluetooth with no Wi-Fi option adds to the pain of that price."
Samsung Galaxy Z Flip 3 Review: The Foldable Has Ascended,https://www.reviewgeek.com/p/uploads/2021/09/6f991680-1.jpg,"The original Samsung Galaxy Z Flip was an interesting phone, as it was a throwback to the flip phones that many of us grew up with. But it was a first-generation product and suffered from first-generation issues as a result. The Z Flip 3 (they skipped 2) fixes a lot of that, and it’s a great look at the current-future of smartphones.",97929,Samsung Galaxy Z Flip 3 ,8,10,Cameron Summerson,2021-09-23T11:23:00-04:00,https://www.reviewgeek.com/97929/samsung-galaxy-z-flip-3-review-the-foldable-has-ascended/,"Overall, these cameras are okay at best, and pretty bad at worst. In the right lighting they can capture some decent shots, but as the available light declines, so does the picture quality. Especially with the front camera."
ZTE Axon 30 5G Review: A Fast Phone with Some Major Speedbumps,https://www.reviewgeek.com/p/uploads/2021/09/e7e44edc-1.jpg,"ZTE is a smaller phone manufacturer in the grand scheme of things, but it has shown itself to be a worthy competitor in the larger smartphone market. And the company’s back at it again with a mid-range Android phone in the Axon 30—competing in the same bracket as phones like the Pixel 5a.",96439,ZTE Axon 30 5G ,6,10,Eric Schoon,2021-09-15T13:13:19-04:00,https://www.reviewgeek.com/96439/zte-axon-30-5g-review-a-fast-phone-with-some-major-speedbumps/,The 
"Philips Hue Play Gradient Lights and Sync Box Review: Too Much Money, Even More Hassle",https://www.reviewgeek.com/p/uploads/2021/08/3d0fe191.jpg,"On paper, the Hue Play Gradient Lightstrip paired with the Hue Play HDMI Sync Box looks amazing. In practice, the Sync Box is the most frustrating piece of technology I’ve used in recent memory. When the system works, it’s beautiful. But that’s a big “if.”",96220,Philips Hue Play Gradient Lights and Sync Box ,3,10,Cameron Summerson,2021-09-10T14:00:17-04:00,https://www.reviewgeek.com/96220/philips-hue-play-gradient-lights-and-sync-box-too-much-money-even-more-hassle/,"So if you’re wondering if it’s worth it, that’s an easy answer: hell no. The lightstrip is probably worth the cost, but without the Sync Box, they’re pretty useless—you could get a much more affordable lightstrip and slap it on the back of your TV instead."
Marvel Villainous: Mischief & Malice Review: Marvelous Geeky Fun,https://www.reviewgeek.com/p/uploads/2021/09/6d513638.png,"If you’ve spent much time on Review Geek, you know we’re absolutely gaga for board and card games and all things Marvel. We’re also low-key lovers of anti-heroes, like Loki. That’s why I was stoked to get my hands on Ravensburger’s Marvel Villainous: Mischief & Malice.",96140,Marvel Villainous: Mischief & Malice ,9,10,Suzanne Humphries,2021-09-05T12:34:00-04:00,https://www.reviewgeek.com/96140/marvel-villainous-mischief-malice-review-marvelous-geeky-fun/,"Overall, the game works well and ends up with an incredibly fun—albeit complex—flow. The mechanics are truly interesting and well-balanced for the most part, and "
Nest Doorbell (Battery) Review: The Doorbell for Every Google User?,https://www.reviewgeek.com/p/uploads/2021/10/7f65beae.jpg,"The Nest Hello doorbell has long been the doorbell for Google/Nest users. But it comes at a high cost of entry, including a sometimes difficult installation process. That’s where the new Nest Doorbell (battery) comes in. It’s almost as good as the Nest Hello, but simplifies installation and brings the cost down.",98528,Nest Doorbell (Battery) ,8,10,Cameron Summerson,2021-10-01T10:24:21-04:00,https://www.reviewgeek.com/98528/nest-doorbell-battery-review-the-doorbell-for-every-google-user/,"That last point is crucial: To get the most from the wired model, you "
Samsung Galaxy Z Fold 3 Review: The Blueprint for the Future,https://www.reviewgeek.com/p/uploads/2021/09/c0fc119e.jpg,"The Samsung Galaxy Z Fold 3 is a progressive, forward-thinking, innovative phone. I genuinely think this device will lay the groundwork for future hybrid foldables—part phone, part tablet. But it still has a lot of growing to do before it’s worth almost $2000.",97926,Samsung Galaxy Z Fold 3 ,5,10,Cameron Summerson,2021-09-27T10:24:46-04:00,https://www.reviewgeek.com/97926/samsung-galaxy-z-fold-3-review-the-blueprint-for-the-future/,"The headline of this review calls the Samsung Galaxy Fold 3 “the blueprint,” and I stand by that. The ideas presented here (and past Folds) will lay the groundwork for future innovation on folding phones. Eventually, someone will get it right—a device that’s truly a phone when closed and a tablet when opened. At the rate we’re going, it might be Samsung. It also might not."
Fluidstance Lift Laptop Stand Review: A Swing and a Miss,https://www.reviewgeek.com/p/uploads/2021/08/5148c81b.jpg,"About a year ago, I reviewed the Fluidstance Slope desktop whiteboard and loved it. When the company took that concept a step further with this Lift, which combined a whiteboard with a laptop stand, I knew I had to jump on it. Unfortunately, it’s not the hit I hoped it would be.",95622,Fluidstance Lift Laptop Stand ,5,10,Cameron Summerson,2021-09-06T15:00:24-04:00,https://www.reviewgeek.com/95622/fluidstance-lift-laptop-stand-review-a-swing-and-a-miss/,"But if you’re looking for something to quickly jot notes on and don’t care about how tidy those notes are, you might love the Lift. As bulky as it is, it’s still more compact than having a separate laptop stand "
BLU G91 Pro Review: A Marginal Upgrade,https://www.reviewgeek.com/p/uploads/2021/09/242f788c.jpg,"At the end of August, BLU launched the successor to its G90 Pro gaming phone with the aptly named G91 Pro. It has a few upgrades over its predecessor and a few surprising downgrades. Overall, the G91 Pro offers excellent price to performance, making it a great phone for anyone on a budget.",97308,BLU G91 Pro ,7,10,Cameron Summerson,2021-09-17T13:13:27-04:00,https://www.reviewgeek.com/97308/blu-g91-pro-review-a-marginal-upgrade/,"All in all, the G91 Pro is another good phone from BLU, though I can’t help but feel like last year’s G90 Pro was just … better? It looked nicer, the included case was better, the performance was a little bit snappier, and the cameras were just a little bit more impressive. The G91 Pro feels like a new phone for the sake of a new phone for the most part. I would’ve personally rather seen BLU put more effort into updating the G90 Pro with Android 11, but I get it. Software updates aren’t profitable, and at this price point, well, margins matter."
Olive Pro Review: Budget “Hearing Aids” with Budget Performance,https://www.reviewgeek.com/p/uploads/2021/09/7ff1917a.jpg,"In the U.S., basic hearing aids can cost up to $5,000 and are seldom covered by insurance. The $299 Olive Pro earbuds are true wireless earbuds that are actually hearing aids for a fraction of the price. But like a lot of “it’s both!” products, what you get is a jack of all trades and master of none.",96933,Olive Pro ,7,10,Josh Hendrickson,2021-09-13T14:00:57-04:00,https://www.reviewgeek.com/96933/olive-pro-review-budget-hearing-aids-with-budget-performance/,"Ultimately, that’s the main issue with Olive Pro earbuds. They’re made for a very specific person. If you want help with your hearing, especially focusing on boosting just voices, I can’t recommend Olive Pro. You’d be better off spending $200 more on "
NZXT Capsule Microphone Review: A Barebones Microphone That Still Impresses,https://www.reviewgeek.com/p/uploads/2021/08/e7e44edc-7.jpg,"NZXT isn’t a company that comes to mind for audio peripherals. That’s not for lack of trying, though; the company attempted to release a set of headphones in 2019, which wound up canceled. But now NZXT is taking another stab at audio with the brand new Capsule microphone —so how’d that go?",95108,NZXT Capsule Microphone ,9,10,Eric Schoon,2021-09-08T11:00:42-04:00,https://www.reviewgeek.com/95108/nzxt-capsule-microphone-review-a-barebones-microphone-that-still-impresses/,"At the beginning of this article, I mentioned how the Capsule shares a price range with mics like the "
MagSafe Battery Pack Review: Breaking the Ecosystem,https://www.reviewgeek.com/p/uploads/2021/08/7a69d405.jpg,"The MagSafe Battery Pack is a product I was waiting for since the launch of the iPhone 12. I’ve been a fan of Apple’s Smart Battery Case in the past, and the MagSafe Battery Pack was a product I was hoping to completely fall in love with. Unfortunately, the MagSafe Battery Pack did not live up to the hype.",96243,MagSafe Battery Pack ,4,10,Peter Cao,2021-09-09T15:00:55-04:00,https://www.reviewgeek.com/96243/magsafe-battery-pack-review-breaking-the-ecosystem/,"In a way, the MagSafe Battery Pack is the evolution of Apple’s older Smart Battery Cases. It is meant to stay attached to your phone from the moment you get up, till you go to bed. That way, if you do "
"VariDesk Portable Laptop Stand Review: A Sleek, Thin, Portable Standing Desk",https://www.reviewgeek.com/p/uploads/2021/08/48bf5bbc.jpg,"I’ve been a sit/stand desk user for the biggest part of the last decade. I love standing while I work, which helps me focus and feel more engaged. That’s an issue for me when I travel because most desks or tables are designed specifically for sitting. Enter the VariDesk Portable Laptop Stand.",95625,VariDesk Portable Laptop Stand ,9,10,Cameron Summerson,2021-08-31T14:00:00-04:00,https://www.reviewgeek.com/95625/varidesk-portable-laptop-stand-review-a-sleek-thin-portable-standing-desk/,"That last bit is crucial because, at $125, the Portable Laptop Stand isn’t cheap and will likely be hard to justify to many people who want it only for travel. If you don’t travel often, the price can be steep for just occasional use. For full-time laptop users, however, the versatility of using the laptop stand at home and on the go is nice."
Plugable USB-C VAMETER Review: Easy Plug-and-Play Diagnostics,https://www.reviewgeek.com/p/uploads/2021/09/de55de17.jpg,"If you’ve ever had charging issues with a USB-C device, you know how frustrating it can be. Is it the charger? The cable? The device itself? Who knows. An easy way to whittle down the issues is with a USB-C voltage/amperage meter, like the USB-C VAMETER from Plugable.",95690,Plugable USB-C VAMETER ,9,10,Cameron Summerson,2021-09-07T18:00:19-04:00,https://www.reviewgeek.com/95690/plugable-usb-c-vameter-review-easy-plug-and-play-diagnostics/,"In my testing, the VAMETER just works. Plug it in, click the button to get the proper display orientation, and let it do its thing. I used it while testing various charging bricks and whatnot, and it reacted exactly as expected, making it easy to discern the difference between two charging bricks in real time."
"RavPower PC151 100W Dual USB-C Charger Review: Little Brick, Big Power",https://www.reviewgeek.com/p/uploads/2021/08/febbb4e6.jpg,"RavPower’s new 100W dual USB-C GaN charger is the company’s smallest and lightest 100W charger to date. It has the ability to charge two devices at once at a max of 100W, which makes it an excellent one-and-done charger for your laptop bag. It’s my new favorite travel companion.",95658,RavPower PC151 100W Dual USB-C Charger ,8,10,Cameron Summerson,2021-08-28T09:00:53-04:00,https://www.reviewgeek.com/95658/ravpower-pc151-100w-dual-usb-c-charger-review/,"In fact, I could probably share this charger with another laptop and get sufficient juice to charge both simultaneously. That not only makes it a great brick for me when I travel but also a solid choice for me and the squad when we hit trade shows or other events (which are finally starting to come back). The only issue I see is if I’m trying to share with a power-hungry laptop like a MacBook Pro, which will pull more juice from the charger, leaving the other laptop potentially without enough juice to properly charge."
Creative T60 Desktop Speakers Review: Perfect for Your Work from Home Setup,https://www.reviewgeek.com/p/uploads/2021/08/d3e5f135-1.jpg,"In this “wild” era of work from home, you might have added some new accessories like a mic or webcam. But what if I told you the T60 speakers from Creative are one of the coolest work from home accessories that no one is talking about?",96106,Creative T60 Desktop Speakers ,8,10,Cameron Summerson,2021-09-03T14:00:36-04:00,https://www.reviewgeek.com/96106/creative-t60-desktop-speakers-review-perfect-for-your-work-from-home-setup/,"Look, if you’re an audiophile, hardcore gamer, or someone who uses their computer as a movie station (those people exist, I promise), these speakers probably aren’t for you. But you’re also not for these speakers."
Red Magic 6R Review: The Gaming Phone for People Who Don’t Want a Gaming Phone,https://www.reviewgeek.com/p/uploads/2021/07/f093ff39-1.jpg,"I have a confession. Every time I read the words “gaming phone,” I cringe. The whole concept seems silly to me. But part of this job is setting aside personal feelings to objectively review products. So, that’s what I did for the Nubia Red Magic 6R. And I’m (mostly) glad I did because it’s a banger of a phone.",93152,Red Magic 6R ,8,10,Cameron Summerson,2021-08-07T09:00:49-04:00,https://www.reviewgeek.com/93152/nubia-red-magic-6r-review-the-gaming-phone-for-everyone-else/,"If you’re buying a phone for the camera, this isn’t the phone for you. But you probably already knew that. This is the phone you buy for all the other stuff. But also, to be fair, it has better photography prowess than other Red Magic phones. So if you want a gaming phone with better cameras than other gaming phones, this isn’t an awful choice."
Nomad AirTag Leather Loop Review: A Better Deal than Apple’s,https://www.reviewgeek.com/p/uploads/2021/07/3ba8f785.jpg,"Buying an accessory for your accessory sounds backward, but if you want to carry around your Apple AirTag, it’s something you’ll have to do. Fortunately, Nomad sells the Leather Loop, a premium leather keychain, which is significantly cheaper than Apple’s offerings.",89432,Nomad AirTag Leather Loop ,9,10,Justin Duino,2021-09-01T14:00:00-04:00,https://www.reviewgeek.com/89432/nomad-airtag-leather-loop-review-a-better-deal-than-apples/,"Recommending the Nomad Leather Loop is a no-brainer. It’s both cheaper and more premium than any of Apple’s official cases. Although I can’t use it with multiple AirTags, I love knowing that it isn’t immediately obvious that I have a Bluetooth tracker attached to my keys."
Sonos ARC Review: An Upgradeable and Flexible Soundbar with Captivating Sound,https://www.reviewgeek.com/p/uploads/2021/08/d40b8c8a.jpg,"If you’re in the market for a high-end soundbar, you’ve likely at least heard of Sonos. I’ve somehow managed to miss most Sonos products, but I recently got to test the Sonos ARC, the company’s top-end, modular soundbar system. It’s gorgeous, versatile, expandable, and pricey.",93156,Sonos ARC ,8.5,10,Peter Cao,2021-08-12T14:00:42-04:00,https://www.reviewgeek.com/93156/sonos-arc-review-a-flexible-upgradeable-soundbar-with-captivating-sound/,"Overall, I’m extremely happy with the Sonos ARC + single subwoofer setup. It’s definitely a “high-end” soundbar, especially if you factor in the cost of the subwoofer. But it offers such a unique and captivating experience. I have no desire to pick up anything beyond the subwoofer in the near-term future. And with Sonos’ history with its other hardware, I’m confident the ARC will continue to push firmware updates and add new features for years to come."
CHERRY KC 4500 ERGO Review: A Great Beginner Ergonomic Keyboard,https://www.reviewgeek.com/p/uploads/2021/08/a27411cd.jpg,"I’ve been using ergonomic keyboards exclusively for a decade, and sometimes I forget what a learning curve can be. Most ergonomic keyboards are unforgiving for the newly converted, and expensive too. Cherry’s new inexpensive ergonomic keyboard might be the best “beginner ergonomic” keyboard.",95911,CHERRY KC 4500 ERGO ,8,10,Josh Hendrickson,2021-09-02T14:00:00-04:00,https://www.reviewgeek.com/95911/cherry-kc-4500-ergo-review-a-great-beginner-ergonomic-keyboard/,"For a lot of people, the idea of switching to an ergonomic keyboard can be intimidating. It looks so different and costs so much. What if it turns out to be a waste of money? If that’s you, and you’ve wanted to make the switch but are unwilling to take the risk, the Cherry Ergo keyboard is the one you should look at. It’s not overpriced, and it’s not as drastically different from the keyboard you know and love."
"Monoprice BT-600ANC: Boring, but in a Good Way",https://www.reviewgeek.com/p/uploads/2021/08/a6ed57f1.jpg,"It’s hard to stand out in the world of headphones, which leads to many manufacturers using extravagant features to make things more marketable. But Monoprice is here with the BT-600ANC to remind us that sometimes, something run-of-the-mill and boring is exactly what you want.",93120,"Monoprice BT-600ANC: Boring, but in a Good Way",8,10,Eric Schoon,2021-08-19T14:00:07-04:00,https://www.reviewgeek.com/93120/monoprice-bt-600anc-boring-but-in-a-good-way/,"Otherwise, these work great in just about any situation. I used them while listening to music, video editing, watching shows, and even playing games and they performed excellently in every situation. The neutral sound profile means that these don’t excel at anything, but they’re also at least decent at everything. I’m not super picky about audio quality, so having an “all-rounder” pair like these is definitely my preference over something more specialized."
Pixel 5a Review: The Best A-series Phone Yet,https://www.reviewgeek.com/p/uploads/2021/08/c5baa0ad.jpg,"It’s that time of year again: time for a new A-series Pixel phone. All the A-series phones have been great up to this point, and Google made some truly meaningful upgrades in the 5a. It’s easily the best $450 phone you can buy right.",95243,Pixel 5a ,9,10,Cameron Summerson,2021-08-23T09:00:34-04:00,https://www.reviewgeek.com/95243/pixel-5a-review-the-best-a-series-phone-yet/,"We know the Pixel 6 is coming, but the 5a is still almost certainly enough phone for nearly everyone—my Pixel 5 is still kicking with no signs of slowing down. That’s a good indicator of what to expect for the 5a."
Exclusive First Look: GRID Studios’ Google Pixel 1 Framed Art,https://www.reviewgeek.com/p/uploads/2021/08/9ae98465.jpg,"There are certain pieces of tech that have a meaningful impact on people’s lives. For me, the first-generation Pixel is one such piece. GRID Studios, the company that breaks down old tech and turns it into elegant wall art, is now celebrating Google’s classic phone with its newest frame.",94112,Exclusive First Look: GRID Studios’ Google Pixel 1 Framed Art,9,10,Cameron Summerson,2021-08-06T09:00:22-04:00,https://www.reviewgeek.com/94112/exclusive-first-look-grid-studios-google-pixel-1-framed-art/,"At $229, the GRID Pixel 1 frame isn’t cheap. But even broken phones cost money, and when you factor in the time spent manually disassembling the phone "
Whoop 3.0 Review: Improving Fitness by Tracking Recovery,https://www.reviewgeek.com/p/uploads/2021/08/1f927004.jpg,"There are a billion (give or take) fitness trackers on the market. But Whoop is one of the few (only?) trackers where the focus is on recovery. It’s a fascinating philosophy because recovery is the most important aspect of training. But how well does it work, and is it actually useful?",94936,Whoop 3.0 ,7,10,Cameron Summerson,2021-08-20T14:00:36-04:00,https://www.reviewgeek.com/94936/whoop-3-0-review-tracking-your-fitness-by-monitoring-your-recovery/,"Ultimately, Whoop has a lot of value in the lives of users who want to optimize performance. It doesn’t matter if you’re an elite athlete or an enthusiast—we can all benefit from the type of data that Whoop offers. Full stop."
JVC HA-XC50T Earbuds Review: Nothing but Treble,https://www.reviewgeek.com/p/uploads/2021/07/4a47a0db-1.png,"In the world of tech, we spend a lot of time praising the best earbuds and pointing fingers at the worst. But what about those that sit somewhere in the middle, that are neither outright horrible nor breathtakingly wonderful? JVC’s HA-XC50T earbuds are precisely that and honestly, that’s just fine.",93136,JVC HA-XC50T Earbuds ,5,10,Suzanne Humphries,2021-08-13T14:00:48-04:00,https://www.reviewgeek.com/93136/jvc-ha-xc50t-earbuds-review-nothing-but-treble/,"As a tech reviewer, the JVC HA-XC50Ts admittedly put me in a bit of a tough spot. They are, as I’ve said a few times in this review, just fine. They’re comfortable and easy to use. They also have a rock-solid IP rating and are great for gaming or watching movies."
"Razer Strider Mousepad Review: Covering All the Bases, and Your Desk Too",https://www.reviewgeek.com/p/uploads/2021/08/e7e44edc-4.jpg,"Razer is taking another crack at mousepads with the Strider, producing its most subdued mousepad to date. There’s no RGB like the Firefly V2 or even a green trim like on Gigantus V2. But behind the subtle style lies high-quality construction, with accuracy and smoothness at the forefront.",94785,Razer Strider Mousepad ,8,10,Eric Schoon,2021-08-26T11:00:22-04:00,https://www.reviewgeek.com/94785/razer-strider-mousepad-review-large-and-subdued/,"The Strider’s a straightforward item with a somewhat hefty price tag. Similar premium mousepads I’ve used in the past only reached around $30, but the Strider bumps things up to $50 if you get the largest size."
HyperX QuadCast S Review: More Than Just a Pretty Face,https://www.reviewgeek.com/p/uploads/2021/07/e7e44edc-4.jpg,"The HyperX QuadCast S is a gaming microphone with RGB lighting, something that may sound ridiculous on the surface. But the QuadCast S delivers more than meets the eye, and while HyperX may advertise it for gaming, it winds up being a great USB microphone for anyone.",91862,HyperX QuadCast S ,7,10,Eric Schoon,2021-08-02T14:00:41-04:00,https://www.reviewgeek.com/91862/hyperx-quadcast-s-review-not-just-a-pretty-face/,This leaves the price tag as the largest and only major issue with this product. Even the standard 
Govee Glide Wall Light Review: What You See Is What You Get,https://www.reviewgeek.com/p/uploads/2021/07/f5605fd1.jpg,"The Glide light is very upfront with its purpose—it’s just a cool wall light. While there are some smart features and plenty of options to customize, you’re not going to get much more out of it than a decoration piece. But if you like the way it looks, there’s little holding it back.",87847,Govee Glide Wall Light ,8,10,Eric Schoon,2021-07-06T09:00:00-04:00,https://www.reviewgeek.com/87847/govee-glide-wall-light-review-what-you-see-is-what-you-get/,"I mean, let’s be frank here, the Glide cannot serve a practical function besides looking cool. It’s meant for decoration through and through, and I can’t think of a way it fails in that regard. While it would be nice if the pieces connected with less resistance, or if the voice commands were more in-depth, neither of these are major enough downsides to not recommend it."
